node,nodeID,root node,root node ID,biodomain
endopeptidase inhibitor activity,GO:0004866,molecular_function,GO:0003674,"Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response"
serine-type endopeptidase inhibitor activity,GO:0004867,molecular_function,GO:0003674,"Proteostasis, Apoptosis, Immune Response, Vasculature, Lipid Metabolism"
cysteine-type endopeptidase inhibitor activity,GO:0004869,molecular_function,GO:0003674,"Proteostasis, Apoptosis, Immune Response, Autophagy, Endolysosome"
asialoglycoprotein receptor activity,GO:0004873,molecular_function,GO:0003674,"Endolysosome, Proteostasis, Vasculature, Lipid Metabolism, Immune Response"
complement receptor activity,GO:0004875,molecular_function,GO:0003674,"Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature"
complement component C3a receptor activity,GO:0004876,molecular_function,GO:0003674,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome"
complement component C3b receptor activity,GO:0004877,molecular_function,GO:0003674,"Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy"
complement component C5a receptor activity,GO:0004878,molecular_function,GO:0003674,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome"
nuclear receptor activity,GO:0004879,molecular_function,GO:0003674,"Epigenetic, Lipid Metabolism, Hormone Signaling, Transcription Regulation, Steroid Hormone Response"
nuclear glucocorticoid receptor activity,GO:0004883,molecular_function,GO:0003674,"Epigenetic, DNA Repair, Proteostasis, Apoptosis, Immune Response"
transmembrane signaling receptor activity,GO:0004888,molecular_function,GO:0003674,"Signal Transduction, Receptor Signaling, Cell Surface Receptor, Intracellular Signaling, Ion Channel"
GABA-A receptor activity,GO:0004890,molecular_function,GO:0003674,"Synapse, Neurotransmission & Receptors, Ion Channels & Transporters, Cell Signaling & Communication, Neurogenesis & Neurodegeneration"
cytokine receptor activity,GO:0004896,molecular_function,GO:0003674,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome"
ciliary neurotrophic factor receptor activity,GO:0004897,molecular_function,GO:0003674,"Synapse, Myelination, Apoptosis, Epigenetic, Structural Stabilization"
erythropoietin receptor activity,GO:0004900,molecular_function,GO:0003674,"Cell Cycle, Apoptosis, Epigenetic, Metal Binding and Homeostasis, Immune Response"
granulocyte macrophage colony-stimulating factor receptor activity,GO:0004901,molecular_function,GO:0003674,"Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic"
growth hormone receptor activity,GO:0004903,molecular_function,GO:0003674,"Signaling Receptor Activity, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Immune Response"
interferon receptor activity,GO:0004904,molecular_function,GO:0003674,"Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis"
type I interferon receptor activity,GO:0004905,molecular_function,GO:0003674,"Immune Response, Signaling, Receptor Activity, Cytokine Signaling, Inflammation"
type II interferon receptor activity,GO:0004906,molecular_function,GO:0003674,"Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy"
interleukin-1 receptor activity,GO:0004908,molecular_function,GO:0003674,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome"
"interleukin-1, type I, activating receptor activity",GO:0004909,molecular_function,GO:0003674,"Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature"
"interleukin-1, type II, blocking receptor activity",GO:0004910,molecular_function,GO:0003674,"Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress"
interleukin-2 receptor activity,GO:0004911,molecular_function,GO:0003674,"Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization"
