Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Response To Cold -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Putrescine Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Wounding -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Response To Mechanical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Response To Nematode -> Biodomain: Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Response To Gravity -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Catechol Containing Compound Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Intracellular Water Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Response To Inorganic Substance -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, DNA Repair
GO Term: Gobp Response To Metal Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Response To Iron Ion -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Response To Manganese Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Signal Transduction
