Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Negative Regulation Of Gene Expression Epigenetic -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Negative Regulation Of Vasoconstriction -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Muscle Contraction -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Regulation Of Transcription By Glucose -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Pigment Catabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Polyol Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Aldehyde Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Phenol Containing Compound Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Response To Organophosphorus -> Biodomain: Response to Stimulus, Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Immune System and Inflammation
GO Term: Gobp Response To Mercury Ion -> Biodomain: Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Cell Cycle
