Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 550 to 599
GO Term: Gocc Extrinsic Component Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Pcg Protein Complex -> Biodomain: Epigenetic Regulation, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Protein Lipid Complex -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gocc Transcription Factor Tftc Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gocc Rdna Heterochromatin -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Structural Stabilization
GO Term: Gocc Triglyceride Rich Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Pwp2P Containing Subcomplex Of 90S Preribosome -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gocc Histone Methyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gocc Prc1 Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Cell Cycle, Structural Stabilization
GO Term: Gocc Chromaffin Granule Membrane -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Mhc Class Ii Protein Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Chylomicron -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc H4 H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gocc Myelin Sheath -> Biodomain: Gliogenesis and Glial Differentiation, Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gocc Contractile Fiber -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Cell Cell Contact Zone -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gocc Nsl Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Mll3 4 Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gocc Plasma Membrane Raft -> Biodomain: Signal Transduction, Lipid Metabolism, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Apical Part Of Cell -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Clathrin Coated Endocytic Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc H3 Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Chromatin Organization, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Msl Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gocc Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Phagocytic Vesicle Lumen -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Sperm Midpiece -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
