Running with TEMP=0.0, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 600 to 649
GO Term: Gomf Dna Topoisomerase Activity -> Biodomain: DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Alcohol Dehydrogenase Activity Zinc Dependent -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Arylsulfatase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Inositol Polyphosphate 5 Phosphatase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Lipid Metabolism
GO Term: Gomf N N Dimethylaniline Monooxygenase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Trna Specific Ribonuclease Activity -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Protein Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Cell Cycle, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Calmodulin Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Protein Serine Threonine Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Serine Type Endopeptidase Inhibitor Activity -> Biodomain: Protein Metabolism and Trafficking, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Complement Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Cytokine Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Prostanoid Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Prostaglandin E Receptor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Lipid Metabolism, Cell Adhesion and Interaction
GO Term: Gomf Neuropeptide Y Receptor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Signaling Receptor Binding -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Cytokine Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gomf Cytokine Receptor Binding -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gomf Integrin Binding -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Immune System and Inflammation, System and Developmental Process
GO Term: Gomf Hormone Activity -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process
GO Term: Gomf Zinc Ion Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Androgen Binding -> Biodomain: Signal Transduction, Lipid Metabolism, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gomf Insulin Like Growth Factor Binding -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Tropomyosin Binding -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Response to Stimulus
GO Term: Gomf Chemokine Activity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gomf N Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, RNA Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf N Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery
GO Term: Gomf Rna Methyltransferase Activity -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gomf Metalloendopeptidase Inhibitor Activity -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Protein Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf 5 3 Exonuclease Activity -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gomf Heparan Sulfate Glucosamine 3 Sulfotransferase 1 Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction
GO Term: Gomf Sulfuric Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Bile Acid Sodium Symporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf S Adenosylmethionine Dependent Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, RNA Metabolism, Lipid Metabolism, Signal Transduction
GO Term: Gomf Double Stranded Methylated Dna Binding -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Bile Acid Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gomf Succinate Transmembrane Transporter Activity -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
