Running with TEMP=0.0, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Alternative Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Alternative Mrna Splicing Via Spliceosome -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Resolution Of Meiotic Recombination Intermediates -> Biodomain: System and Developmental Process, DNA Repair, Cell Cycle, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Transcription Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Signal Transduction
GO Term: Gobp Antral Ovarian Follicle Growth -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Reproductive System, Signal Transduction
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Formation Of Primary Germ Layer -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Mesodermal Cell Fate Commitment -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Organ Induction -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Histamine Secretion -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Response To Yeast -> Biodomain: Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Endothelial Cell Proliferation -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Systemic Arterial Blood Pressure By Norepinephrine Epinephrine -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Heart Rate By Epinephrine Norepinephrine -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Response To Dietary Excess -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process
GO Term: Gobp Diet Induced Thermogenesis -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Chondrocyte Development -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Osteoclast Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Immune System and Inflammation, Signal Transduction, Response to Stimulus
GO Term: Gobp Myeloid Leukocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp T Cell Differentiation Involved In Immune Response -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
