Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Choline Transport -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Calcium Independent Cell Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Histone Modification -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Histone Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Histone Deubiquitination -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Import -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Peptidyl Lysine Methylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Peptidyl Lysine Trimethylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Peptide Cross Linking -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Peptidyl Lysine Modification -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Peptidyl Tyrosine Modification -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Response to Stimulus, Structural Stabilization
GO Term: Gobp Peptidyl Lysine Acetylation -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Ether Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Phenol Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Viral Transcription -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Immune System and Inflammation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Fucose Catabolic Process -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Peptide Cross Linking Via Chondroitin 4 Sulfate Glycosaminoglycan -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Forebrain Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis, Lipid Metabolism
GO Term: Gobp Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Bone Mineralization -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Collagen Catabolic Process -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ubiquitin Dependent Smad Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Neutrophil Chemotaxis -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Paranodal Junction Assembly -> Biodomain: Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Exocrine Pancreas Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Rna Mediated Heterochromatin Formation -> Biodomain: Epigenetic Regulation, RNA Metabolism, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Histone Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Post Embryonic Camera Type Eye Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Trna Pseudouridine Synthesis -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Positive Regulation Of Cell Killing -> Biodomain: Apoptosis, Immune System and Inflammation, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Signal Transduction
GO Term: Gobp Positive Regulation Of Fever Generation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Myelination -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Nervous System Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Fatty Acid Beta Oxidation -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Response To Cobalt Ion -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Nucleobase Containing Compound Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, RNA Metabolism, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nucleobase Containing Compound Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Response To Follicle Stimulating Hormone -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Intracellular Lipid Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154/Temp_0.0/runtime_log.csv
