Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Aminoglycan Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Transcription Coupled Nucleotide Excision Repair -> Biodomain: DNA Repair, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Base Excision Repair Ap Site Formation -> Biodomain: DNA Repair, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Dna Modification -> Biodomain: Epigenetic Regulation, DNA Repair, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Dna Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, System and Developmental Process, Response to Stimulus
GO Term: Gobp Chromatin Organization -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, System and Developmental Process
GO Term: Gobp Dna Methylation Dependent Heterochromatin Formation -> Biodomain: Epigenetic Regulation, Chromatin Organization and Maintenance, DNA Modification and Methylation, Transcriptional Regulation, System and Developmental Process
GO Term: Gobp Dna Templated Transcription Elongation -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Mrna Splice Site Selection -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Mrna Cleavage -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein Sulfation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Protein Methylation -> Biodomain: Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Aspartate Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp L Phenylalanine Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Tryptophan Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Thyroid Hormone Generation -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Glycerol Ether Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process
