Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Replacement Ossification -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Granulocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Response To Increased Oxygen Levels -> Biodomain: Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Macrophage Colony Stimulating Factor Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Trail Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Erbb2 Erbb4 Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Viral Rna Genome Replication -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Locomotion -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Wound Healing -> Biodomain: Response to Stimulus, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Monocyte Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Vasodilation -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Norepinephrine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Molecular Transport and Homeostasis, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Dopamine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Hormone Biosynthetic Process -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Hormone Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Middle Ear Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Odontogenesis -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Odontogenesis Of Dentin Containing Tooth -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Retinal Cone Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Structural Stabilization
GO Term: Gobp Muscle Cell Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Ovulation Cycle -> Biodomain: System and Developmental Process, Cell Cycle, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Macrophage Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Immune System and Inflammation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
