Running with TEMP=0.0, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, RNA Metabolism, Epigenetic Regulation
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: RNA Metabolism, Response to Stimulus, Signal Transduction, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: RNA Metabolism, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Lipoprotein Localization -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Apoptosis, Cell Adhesion and Interaction
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Apical Protein Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Cell Cycle
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Apoptosis
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, RNA Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Response to Stimulus, Cell Adhesion and Interaction
Saved results to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/go_biodomain_results_part_6.csv
Logged runtime to: EExperiment/DeepSeek/02-FXS/04-FXS/Unknown_Temp_0.0/runtime_log.csv
