Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Response to Stimulus, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Regulation Of Glucose Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Neural Crest Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Neural Crest Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Gliogenesis and Glial Differentiation, Structural Stabilization
GO Term: Gobp Schwann Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Signal Transduction
