Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, RNA Metabolism
GO Term: Gobp Protein Destabilization -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gobp Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Lipopolysaccharide Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Protein Autophosphorylation -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Nf Kappab Transcription Factor Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Synaptic Transmission Gabaergic -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Intracellular Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Negative Regulation Of Intracellular Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gobp Regulation Of Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Phospholipase A2 Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
