Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
