Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Neurotransmission and Synaptic Regulation
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Microtubule Severing -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, RNA Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
