Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction, Gliogenesis and Glial Differentiation, Response to Stimulus
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: Epigenetic Regulation, Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Microtubule Severing -> Biodomain: Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, DNA Repair, Epigenetic Regulation
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, RNA Metabolism
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Delipidation -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Autophagy, RNA Metabolism
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Gliogenesis and Glial Differentiation, Cell Cycle, Neurotransmission and Synaptic Regulation
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Epigenetic Regulation, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Structural Stabilization
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, RNA Metabolism
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Selective Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.9/runtime_log.csv
