Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Response to Stimulus, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, RNA Metabolism
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Signal Transduction, Epigenetic Regulation, DNA Repair, Cell Cycle, Apoptosis
GO Term: Gobp Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Signal Transduction
GO Term: Gobp Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Cell Cycle Dna Replication Initiation -> Biodomain: Cell Cycle, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Regulation Of Mrna Binding -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Protein Autoubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, RNA Metabolism, Signal Transduction
GO Term: Gobp Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, RNA Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
