Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Post Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Protein Retention In Er Lumen -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, Signal Transduction
GO Term: Gobp Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Copper Ion Transport -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Vesicle Coating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, RNA Metabolism
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gobp Nucleolus Organization -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Transcription and Translation Machinery, DNA Repair, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Female Meiosis I -> Biodomain: Cell Cycle, RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Jnk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Ectoderm Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Signal Transduction, Transcription and Translation Machinery, Structural Stabilization, Response to Stimulus
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Isoprenoid Catabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Phospholipid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Response To Temperature Stimulus -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Response To Heat -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Anterior Posterior Axis Specification -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Meiotic Chromosome Condensation -> Biodomain: Epigenetic Regulation, DNA Repair, Cell Cycle, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Gastrulation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Proteasomal Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Autophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Signal Transduction
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/go_biodomain_results_part_2.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.0/runtime_log.csv
