Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 250 to 299
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: RNA Metabolism, Immune System and Inflammation, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Lipoprotein Localization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation
GO Term: Gobp Dna Templated Dna Replication Maintenance Of Fidelity -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Glycerolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery
GO Term: Gobp Protein Insertion Into Er Membrane By Stop Transfer Membrane Anchor Sequence -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Apoptosis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Apical Protein Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Lipid Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
