Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 450 to 499
GO Term: Gobp Regulation Of Ire1 Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, RNA Metabolism
GO Term: Gobp Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Perk Mediated Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Dna Primase Activity -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Cell Cycle, Signal Transduction
GO Term: Gobp Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, RNA Metabolism, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Retrograde Protein Transport Er To Cytosol -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Transcription and Translation Machinery, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
