Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Positive Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Epigenetic Regulation, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gobp Positive Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Structural Stabilization, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Glucose Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Glial Cell Proliferation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Response to Stimulus
GO Term: Gobp Neural Crest Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Neural Crest Cell Fate Commitment -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Schwann Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Schwann Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Gamma Aminobutyric Acid Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Serotonin Secretion -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Norepinephrine Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Vesicle Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Terpenoid Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Protein Import -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Peptidyl Proline Modification -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Peptidyl Proline Hydroxylation To 4 Hydroxy L Proline -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Structural Stabilization, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Viral Release From Host Cell -> Biodomain: Immune System and Inflammation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Lipoxygenase Pathway -> Biodomain: Immune System and Inflammation, Lipid Metabolism, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Glial Cell Fate Commitment -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Glial Cell Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein To Membrane Docking -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus
GO Term: Gobp Regulation Of Dna Templated Dna Replication Initiation -> Biodomain: Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, RNA Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Cell Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Ubiquitin Dependent Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Maturation Of Ssu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Intracellular Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Exocrine Pancreas Development -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Endocrine Pancreas Development -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Molecular Transport and Homeostasis, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Histone Deacetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Rrna Pseudouridine Synthesis -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Rrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Regulation Of Axon Diameter -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Post Translational Protein Targeting To Membrane Translocation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Defense Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Killing Of Cells Of Another Organism -> Biodomain: Immune System and Inflammation, Response to Stimulus, Apoptosis, Autophagy, Cell Adhesion and Interaction
Saved results to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/go_biodomain_results_part_3.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/04-FXS/Temp_0.5/runtime_log.csv
