Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Dna Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Nik Nf Kappab Signaling -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Succinyl Coa Catabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Lipid Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Signal Transduction, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Response to Stimulus
