Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Recombinational Repair -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Double Strand Break Repair Via Break Induced Replication -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction
GO Term: Gobp Receptor Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Blood Vessel Maturation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization
GO Term: Gobp Regulation Of L Glutamate Import Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
