Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 49
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation
GO Term: Gobp Recombinational Repair -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Cell Cycle
GO Term: Gobp Double Strand Break Repair Via Break Induced Replication -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Fatty Acid Alpha Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Receptor Recycling -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Blood Vessel Maturation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of L Glutamate Import Across Plasma Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery, DNA Repair
GO Term: Gobp Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Negative Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Hypersensitivity -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Skeletal Muscle Contraction -> Biodomain: System and Developmental Process, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Heart Valve Formation -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Atrioventricular Valve Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gobp Cardiac Left Ventricle Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Endocardial Cushion Fusion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Noradrenergic Neuron Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: System and Developmental Process, Transcription and Translation Machinery, Signal Transduction, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Succinyl Coa Metabolic Process -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Mitochondrial Electron Transport Succinate To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Dna Unwinding Involved In Dna Replication -> Biodomain: Cell Cycle, DNA Repair, System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Dna Replication Initiation -> Biodomain: Epigenetic Regulation, Cell Cycle, RNA Metabolism, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Base Excision Repair Gap Filling -> Biodomain: DNA Repair, Epigenetic Regulation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Dna Recombination -> Biodomain: DNA Repair, RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Rrna Processing -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Translational Elongation -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Translational Termination -> Biodomain: Translation and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp De Novo Protein Folding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, RNA Metabolism
