[0] Autophagy Of Mitochondrion → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
[1] Maturation Of Ssu Rrna From Tricistronic Rrna Transcript Ssu Rrna 5 8S Rrna Lsu Rrna → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[2] Recombinational Repair → DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Autophagy
[3] Double Strand Break Repair Via Break Induced Replication → DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
[4] Formation Of Extrachromosomal Circular Dna → DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis
[5] Ovulation From Ovarian Follicle → Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Epigenetic
[6] Fatty Acid Alpha Oxidation → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[7] Natural Killer Cell Proliferation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[8] Receptor Recycling → Endolysosome, Synapse, Immune Response, Structural Stabilization, Autophagy
[9] Cell Killing → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
[10] Blood Vessel Maturation → Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Oxidative Stress
[11] Regulation Of L Glutamate Import Across Plasma Membrane → Synapse, Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism
[12] Columnar Cuboidal Epithelial Cell Maturation → Vasculature, Structural Stabilization, Immune Response, Myelination, Proteostasis
[13] Natural Killer Cell Mediated Immunity → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[14] Complement Receptor Mediated Signaling Pathway → Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
[15] Production Of Molecular Mediator Involved In Inflammatory Response → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[16] Cytokine Production Involved In Inflammatory Response → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[17] Somatic Diversification Of Immune Receptors Via Somatic Mutation → Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
[18] Positive Regulation Of T Cell Tolerance Induction → Immune Response, Vasculature, Apoptosis, Proteostasis, Synapse
[19] Negative Regulation Of Leukocyte Migration → Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization
[20] Negative Regulation Of Lymphocyte Mediated Immunity → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[21] Regulation Of Natural Killer Cell Mediated Immunity → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[22] Negative Regulation Of Natural Killer Cell Mediated Immunity → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[23] Negative Regulation Of T Helper 1 Type Immune Response → Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
[24] Negative Regulation Of Response To Biotic Stimulus → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[25] Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[26] Regulation Of Hypersensitivity → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[27] Skeletal Muscle Contraction → Vasculature, Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism
[28] Regulation Of The Force Of Heart Contraction By Chemical Signal → Vasculature, Mitochondrial Metabolism, Immune Response, Structural Stabilization, Oxidative Stress
[29] Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure → Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
[30] Heart Valve Formation → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[31] Atrioventricular Valve Formation → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[32] Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation → Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism
[33] Cardiac Left Ventricle Morphogenesis → Vasculature, Structural Stabilization, Immune Response, Myelination, Apoptosis
[34] Endocardial Cushion Fusion → Vasculature, Structural Stabilization, Immune Response, Apoptosis, Myelination
[35] Noradrenergic Neuron Development → Synapse, Immune Response, Vasculature, Myelination, Structural Stabilization
[36] Chondrocyte Hypertrophy → Vasculature, Structural Stabilization, Immune Response, Apoptosis, Myelination
[37] Growth Plate Cartilage Chondrocyte Differentiation → Vasculature, Structural Stabilization, Immune Response, Myelination, Epigenetic
[38] Cellular Glucan Metabolic Process → Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Immune Response
[39] Succinyl Coa Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[40] Energy Reserve Metabolic Process → Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
[41] Mitochondrial Electron Transport Succinate To Ubiquinone → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[42] Adp Biosynthetic Process → Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
[43] Imp Catabolic Process → Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
[44] Dna Templated Dna Replication → DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
[45] Dna Unwinding Involved In Dna Replication → DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
[46] Dna Replication Initiation → Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
[47] Dna Strand Elongation Involved In Dna Replication → DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
[48] Base Excision Repair Gap Filling → DNA Repair, Proteostasis, Oxidative Stress, Cell Cycle, Epigenetic
[49] Dna Recombination → DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis
[50] Rrna Processing → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[51] Translational Elongation → Proteostasis, RNA Spliceosome, Cell Cycle, Apoptosis, Epigenetic
[52] Translational Termination → Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle, Epigenetic
[53] Protein Folding → Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
[54] De Novo Protein Folding → Proteostasis, Autophagy, Epigenetic, DNA Repair, Synapse
[55] Gpi Anchor Metabolic Process → Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis, Proteostasis
[56] Proteolysis → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[57] Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins → Proteostasis, Autophagy, Endolysosome, DNA Repair, Apoptosis
[58] Cotranslational Protein Targeting To Membrane → Proteostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Autophagy
[59] Srp Dependent Cotranslational Protein Targeting To Membrane → Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
[60] Srp Dependent Cotranslational Protein Targeting To Membrane Translocation → Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Structural Stabilization
[61] Srp Dependent Cotranslational Protein Targeting To Membrane Signal Sequence Recognition → Proteostasis, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Autophagy
[62] Post Translational Protein Targeting To Endoplasmic Reticulum Membrane → Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
[63] Protein Retention In Er Lumen → Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization
[64] Protein Targeting To Peroxisome → Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
[65] Fatty Acid Biosynthetic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[66] Unsaturated Fatty Acid Biosynthetic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[67] Phosphatidylcholine Biosynthetic Process → Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
[68] Phosphatidylserine Metabolic Process → Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
[69] Prostanoid Metabolic Process → Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, APP Metabolism
[70] Bile Acid Biosynthetic Process → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
[71] Cholesterol Catabolic Process → Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Vasculature
[72] Copper Ion Transport → Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
[73] Mitochondrial Transport → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[74] Intracellular Iron Ion Homeostasis → Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
[75] Intracellular Sodium Ion Homeostasis → Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism
[76] Endoplasmic Reticulum To Golgi Vesicle Mediated Transport → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome
[77] Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum → Endolysosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
[78] Intra Golgi Vesicle Mediated Transport → Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
[79] Vesicle Budding From Membrane → Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse
[80] Vesicle Coating → Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse
[81] Phagocytosis Recognition → Endolysosome, Autophagy, Immune Response, Oxidative Stress, Proteostasis
[82] Response To Osmotic Stress → Oxidative Stress, Proteostasis, Autophagy, Immune Response, Endolysosome
[83] Er Nucleus Signaling Pathway → Proteostasis, Mitochondrial Metabolism, Synapse, Epigenetic, Autophagy
[84] Response To Sterol Depletion → Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
[85] Cellular Response To Nitrogen Starvation → Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
[86] Nucleolus Organization → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
[87] Microtubule Depolymerization → Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
[88] Endoplasmic Reticulum Organization → Proteostasis, Structural Stabilization, Autophagy, Epigenetic, DNA Repair
[89] Endosome Organization → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Structural Stabilization
[90] Mitotic Sister Chromatid Cohesion → Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
[91] Female Meiotic Nuclear Division → Cell Cycle, Myelination, DNA Repair, Apoptosis, Epigenetic
[92] Female Meiosis I → Cell Cycle, DNA Repair, Epigenetic, Autophagy, Myelination
[93] Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules → Structural Stabilization, Synapse, Immune Response, Myelination, Endolysosome
[94] Receptor Guanylyl Cyclase Signaling Pathway → Synapse, Immune Response, Vasculature, Oxidative Stress, Structural Stabilization
[95] Jnk Cascade → Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
[96] Ectoderm Development → Myelination, Vasculature, Synapse, Structural Stabilization, Immune Response
[97] Adult Heart Development → Vasculature, Structural Stabilization, Immune Response, Myelination, Mitochondrial Metabolism
[98] Feeding Behavior → Immune Response, Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
[99] Cell Recognition → Synapse, Immune Response, Structural Stabilization, Endolysosome, Myelination
[100] Mesodermal Cell Migration → Vasculature, Structural Stabilization, Immune Response, Myelination, Autophagy
[101] Isoprenoid Catabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
[102] Apoptotic Mitochondrial Changes → Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
[103] Phospholipid Biosynthetic Process → Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
[104] Macromolecule Catabolic Process → Autophagy, Proteostasis, Lipid Metabolism, DNA Repair, Endolysosome
[105] Nucleoside Diphosphate Biosynthetic Process → Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic
[106] Purine Nucleoside Diphosphate Biosynthetic Process → Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy
[107] Ribonucleoside Diphosphate Biosynthetic Process → RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Cell Cycle
[108] Response To Temperature Stimulus → Oxidative Stress, Immune Response, Autophagy, Proteostasis, Epigenetic
[109] Response To Heat → Oxidative Stress, Proteostasis, Immune Response, Autophagy, Epigenetic
[110] Response To Fructose → Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism
[111] Positive Regulation Of Catabolic Process → Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism
[112] Anterior Posterior Axis Specification → Vasculature, Immune Response, Structural Stabilization, Myelination, Epigenetic
[113] Meiotic Chromosome Condensation → Cell Cycle, DNA Repair, Structural Stabilization, Myelination, Epigenetic
[114] Negative Regulation Of Gene Expression Via Chromosomal Dna Cytosine Methylation → Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
[115] Membrane Invagination → Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
[116] Response To Acidic Ph → Oxidative Stress, Immune Response, Endolysosome, Vasculature, Autophagy
[117] Regulation Of Gastrulation → Vasculature, Structural Stabilization, Immune Response, Myelination, Epigenetic
[118] Proteasomal Protein Catabolic Process → Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response
[119] Positive Regulation Of Autophagy → Autophagy, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[120] Positive Regulation Of Striated Muscle Cell Apoptotic Process → Apoptosis, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Myelination
[121] Regulation Of Collagen Metabolic Process → Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
[122] Negative Regulation Of Collagen Metabolic Process → Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
[123] Negative Regulation Of Epithelial To Mesenchymal Transition → Vasculature, Immune Response, Structural Stabilization, Epigenetic, Autophagy
[124] Regulation Of Mitochondrion Organization → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
[125] Positive Regulation Of Mitochondrion Organization → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
[126] Negative Regulation Of Mitochondrion Organization → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
[127] Regulation Of Glucose Transmembrane Transport → Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
[128] Negative Regulation Of Smad Protein Complex Assembly → Proteostasis, Epigenetic, Immune Response, Structural Stabilization, Autophagy
[129] Glial Cell Proliferation → Vasculature, Immune Response, Myelination, Synapse, Structural Stabilization
[130] Neural Crest Formation → Vasculature, Synapse, Myelination, Structural Stabilization, Immune Response
[131] Neural Crest Cell Fate Commitment → Myelination, Synapse, Immune Response, Structural Stabilization, APP Metabolism
[132] Schwann Cell Differentiation → Myelination, Vasculature, Immune Response, Structural Stabilization, APP Metabolism
[133] Schwann Cell Development → Myelination, Vasculature, Immune Response, Structural Stabilization, APP Metabolism
[134] Gamma Aminobutyric Acid Secretion → Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
[135] Negative Regulation Of Serotonin Secretion → Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
[136] Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling → Vasculature, Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism
[137] Negative Regulation Of Skeletal Muscle Cell Proliferation → Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination
[138] Norepinephrine Transport → Synapse, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism
[139] Vesicle Organization → Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse
[140] Terpenoid Catabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
[141] Positive Regulation Of Macroautophagy → Autophagy, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
[142] Protein Import Into Peroxisome Matrix Receptor Recycling → Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
[143] Protein Import → Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
[144] Peptidyl Proline Modification → Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Structural Stabilization
[145] Peptidyl Proline Hydroxylation To 4 Hydroxy L Proline → Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, DNA Repair
[146] Viral Release From Host Cell → Immune Response, Synapse, Endolysosome, Oxidative Stress, Apoptosis
[147] Reproductive Behavior → Immune Response, Synapse, Oxidative Stress, Structural Stabilization, Epigenetic
[148] Dolichol Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
[149] Lipoxygenase Pathway → Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
[150] Taurine Metabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
[151] Glial Cell Fate Commitment → Myelination, Immune Response, Synapse, Structural Stabilization, APP Metabolism
[152] Glial Cell Development → Myelination, Immune Response, Synapse, Structural Stabilization, APP Metabolism
[153] Protein To Membrane Docking → Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
[154] Negative Regulation Of Signaling → Immune Response, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis
[155] Natural Killer Cell Activation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
[156] Protein Import Into Mitochondrial Matrix → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
[157] Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[158] Regulation Of Dna Templated Dna Replication Initiation → Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
[159] Megakaryocyte Differentiation → Vasculature, Immune Response, Structural Stabilization, Myelination, APP Metabolism
[160] Negative Regulation Of Cell Growth → Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
[161] Ubiquitin Dependent Erad Pathway → Proteostasis, Autophagy, Endolysosome, DNA Repair, Immune Response
[162] Maturation Of Ssu Rrna → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[163] Intracellular Receptor Signaling Pathway → Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
[164] Exocrine Pancreas Development → Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
[165] Endocrine Pancreas Development → Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
[166] Negative Regulation Of Histone Deacetylation → Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response
[167] Stress Activated Protein Kinase Signaling Cascade → Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
[168] Rrna Pseudouridine Synthesis → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[169] Rrna 3 End Processing → RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
[170] Regulation Of Axon Diameter → Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
[171] Post Translational Protein Targeting To Membrane Translocation → Proteostasis, Synapse, Structural Stabilization, Autophagy, Mitochondrial Metabolism
[172] Replication Fork Processing → DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
[173] Positive Regulation Of Cellular Catabolic Process → Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress
[174] Negative Regulation Of Cell Killing → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
[175] Negative Regulation Of Defense Response → Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
[176] Wybutosine Metabolic Process → Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Epigenetic
[177] Killing Of Cells Of Another Organism → Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Structural Stabilization
[178] Regulation Of Protein Stability → Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
[179] Protein Destabilization → Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
[180] Lipopolysaccharide Mediated Signaling Pathway → Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
[181] Regulation Of Lipopolysaccharide Mediated Signaling Pathway → Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Vasculature
[182] Negative Regulation Of Protein Autophosphorylation → Proteostasis, Autophagy, Cell Cycle, Epigenetic, Immune Response
[183] Isg15 Protein Conjugation → Proteostasis, Immune Response, Oxidative Stress, Endolysosome, DNA Repair
[184] Negative Regulation Of Nf Kappab Transcription Factor Activity → Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
[185] Negative Regulation Of Synaptic Transmission Gabaergic → Synapse, Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis
[186] Dense Core Granule Localization → Endolysosome, Synapse, Structural Stabilization, Immune Response, Autophagy
[187] Positive Regulation Of Gonadotropin Secretion → Immune Response, Vasculature, Synapse, Structural Stabilization, Lipid Metabolism
[188] Regulation Of Intracellular Transport → Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
[189] Negative Regulation Of Intracellular Transport → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response
[190] Regulation Of Phospholipase A2 Activity → Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
[191] Positive Regulation Of Phospholipase A2 Activity → Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
[192] Positive Regulation Of Proteasomal Ubiquitin Dependent Protein Catabolic Process → Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response
[193] Negative Regulation Of Type I Interferon Production → Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
[194] Maintenance Of Protein Location In Cell → Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
[195] Protein Exit From Endoplasmic Reticulum → Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
[196] Protein Transport Within Lipid Bilayer → Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
[197] Interferon Alpha Production → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[198] Interferon Beta Production → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[199] Interleukin 18 Production → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[200] Interleukin 23 Production → Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
[201] Negative Regulation Of Interferon Beta Production → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[202] Positive Regulation Of Interleukin 17 Production → Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization
[203] Positive Regulation Of Interleukin 18 Production → Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization
[204] Positive Regulation Of Creb Transcription Factor Activity → Synapse, Immune Response, Epigenetic, Proteostasis, APP Metabolism
[205] Regulation Of Natural Killer Cell Activation → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
