Running with TEMP=0.0, sub_array_index=23
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 23: rows 1100 to 1149
GO Term: Gobp Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Cell Cycle
GO Term: Gobp Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Regulation Of Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of T Cell Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Glycogen Starch Synthase Activity -> Biodomain: Carbohydrate Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Positive Regulation Of Glycogen Starch Synthase Activity -> Biodomain: Carbohydrate Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of T Cell Costimulation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mirna Metabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Receptor Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Androgen Receptor Activity -> Biodomain: Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, System and Developmental Process, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Cell Cycle, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Cell Cycle
GO Term: Gobp Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cysteine Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Cell Cycle
GO Term: Gobp Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Nucleotide Excision Repair Complex -> Biodomain: DNA Repair, DNA Damage Response, Protein Metabolism and Trafficking, Signal Transduction, Cell Cycle
GO Term: Gocc Golgi Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Cytoplasmic Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gocc Protein Phosphatase Type 1 Complex -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gocc Vacuolar Proton Transporting V Type Atpase V0 Domain -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Nuclear Chromosome -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Cell Cycle, System and Developmental Process
GO Term: Gocc Autophagosome Membrane -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gocc Proteasome Complex -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism
GO Term: Gocc Chromosome Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gocc Condensed Chromosome Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gocc Condensed Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gocc Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gocc Condensin Complex -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Structural Stabilization, DNA Repair, Transcription and Translation Machinery
GO Term: Gocc Lateral Element -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gocc X Chromosome -> Biodomain: System and Developmental Process, Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle
GO Term: Gocc Er Ubiquitin Ligase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gocc Hrd1P Ubiquitin Ligase Erad L Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gocc Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Outer Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_23.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
