Running with TEMP=0.0, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 400 to 449
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Microtubule Based Process -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization
GO Term: Gobp Transforming Growth Factor Beta2 Production -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Immune System and Inflammation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Circadian Regulation Of Gene Expression -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Superoxide Anion Generation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Collagen Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ribonucleoprotein Complex Disassembly -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus
GO Term: Gobp Tetrapyrrole Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Leptin Mediated Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Lipid Metabolism, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Immune System and Inflammation
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, DNA Repair
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp S Adenosylmethionine Cycle -> Biodomain: Epigenetic Regulation, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Carbohydrate Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Transferrin Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Nad P H Oxidase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Nad P H Oxidase Activity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Erythrocyte Homeostasis -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Cell Cycle, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Tissue Remodeling -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
GO Term: Gobp Toll Like Receptor 3 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Toll Like Receptor 4 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Arp2 3 Complex Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Nuclear Transcribed Mrna Catabolic Process Exonucleolytic 3 5 -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp U4 Snrna 3 End Processing -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus
GO Term: Gobp Late Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Protein Metabolism and Trafficking, Epigenetic Regulation, Structural Stabilization, DNA Repair
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Stress Response, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Cellular Response To Unfolded Protein -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gobp Cellular Macromolecule Biosynthetic Process -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Protein Folding In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
