Running with TEMP=0.0, sub_array_index=26
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 26: rows 1250 to 1299
GO Term: Gocc Mhc Class I Protein Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gocc Mhc Class I Peptide Loading Complex -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
GO Term: Gocc Nadph Oxidase Complex -> Biodomain: Immune System and Inflammation, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Varicosity -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gocc Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gocc Nuclear Replication Fork -> Biodomain: DNA Repair, System and Developmental Process, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gocc Cytolytic Granule -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Organelle Membrane Contact Site -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gocc Mitochondria Associated Endoplasmic Reticulum Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Autophagy
GO Term: Gocc Ribosomal Subunit -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Basal Cortex -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gocc Phagocytic Vesicle -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Perinuclear Region Of Cytoplasm -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Pigment Granule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Response to Stimulus
GO Term: Gocc Recycling Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Cytochrome Complex -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Respirasome -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gocc Brca1 A Complex -> Biodomain: DNA Repair, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Cell Cycle
GO Term: Gocc Brca1 C Complex -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gocc Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Tertiary Granule Membrane -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gocc Endoplasmic Reticulum Exit Site -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Post Mrna Release Spliceosomal Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Translocon Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gocc Endocytic Vesicle Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus, System and Developmental Process
GO Term: Gocc Elastic Fiber -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Ragulator Complex -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gocc Er Membrane Insertion Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Emc Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Box H Aca Rnp Complex -> Biodomain: RNA Metabolism, DNA Repair, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gocc Box H Aca Telomerase Rnp Complex -> Biodomain: DNA Repair, Transcription and Translation Machinery, Structural Stabilization, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gocc Perinuclear Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Tetraspanin Enriched Microdomain -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Perinucleolar Compartment -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gocc Astrocyte End Foot -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Cardiac Myofibril -> Biodomain: Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gocc Ciliary Transition Fiber -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gocc Side Of Membrane -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gocc Cytoplasmic Side Of Apical Plasma Membrane -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Chromosomal Region -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gocc Membrane Protein Complex -> Biodomain: Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gocc Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Synaptonemal Structure -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gocc Postsynaptic Specialization Intracellular Component -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gocc Postsynaptic Density Intracellular Component -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Postsynaptic Cytosol -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation
GO Term: Gocc Presynaptic Cytoskeleton -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Ficolin 1 Rich Granule -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_26.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
