Running with TEMP=0.0, sub_array_index=28
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 28: rows 1350 to 1399
GO Term: Gomf Leukotriene C4 Synthase Activity -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gomf Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Beta N Acetylhexosaminidase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Oligosaccharyl Transferase Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Gomf Dolichyl Diphosphooligosaccharide Protein Glycotransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Phospholipase D Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Procollagen Proline 4 Dioxygenase Activity -> Biodomain: Structural Stabilization, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Enzyme Inhibitor Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Cyclin Dependent Protein Serine Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gomf Complement Receptor Activity -> Biodomain: Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf G Protein Coupled Opioid Receptor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Low Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gomf Signal Recognition Particle Binding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Gdp Dissociation Inhibitor Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process
GO Term: Gomf Type I Interferon Receptor Binding -> Biodomain: Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Structural Molecule Activity -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Volume Sensitive Anion Channel Activity -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Snap Receptor Activity -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gomf Steroid Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus, Lipid Metabolism
GO Term: Gomf Androgen Binding -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gomf Vitamin D Binding -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Collagen Binding -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gomf Profilin Binding -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Cytoskeletal Anchor Activity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gomf Atp Dependent Activity Acting On Dna -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gomf Transcription Factor Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gomf Translation Factor Activity Rna Binding -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Trna Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gomf Cysteine Type Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Apoptosis, Autophagy, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Nucleotidase Activity -> Biodomain: RNA Metabolism, DNA Repair, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gomf Protein Prenyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gomf Protein Transmembrane Transporter Activity -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gomf Coa Transferase Activity -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Fucosyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gomf Selenium Binding -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Signal Transduction
GO Term: Gomf Jun Kinase Binding -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Transcription and Translation Machinery, Cell Cycle
GO Term: Gomf Microtubule Severing Atpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gomf Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, RNA Metabolism, Epigenetic Regulation
