Running with TEMP=0.0, sub_array_index=31
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 31: rows 1500 to 1535
GO Term: Gomf Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Lipoprotein Particle Receptor Binding -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gomf Aromatase Activity -> Biodomain: Lipid Metabolism, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Nadph Binding -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Adenylyltransferase Activity -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf E Box Binding -> Biodomain: Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Ankyrin Repeat Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gomf Ceramide Binding -> Biodomain: Lipid Metabolism, Apoptosis, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gomf Cell Matrix Adhesion Mediator Activity -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gomf Bmp Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction
GO Term: Gomf Sequence Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Structural Constituent Of Presynaptic Active Zone -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gomf G Protein Coupled Glutamate Receptor Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Phosphatidylinositol 4 5 Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gomf Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gomf Catalytic Activity Acting On Dna -> Biodomain: DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf General Transcription Initiation Factor Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Dna Binding Transcription Factor Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Molecular Sequestering Activity -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Protein Transporter Activity -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Phosphatidylserine Flippase Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gomf Protein Carrier Chaperone -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gomf Dna Damage Sensor Activity -> Biodomain: DNA Repair, Signal Transduction, Response to Stimulus, Cell Cycle, Epigenetic Regulation
GO Term: Gomf Atp Dependent Chromatin Remodeler Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Signal Transduction
GO Term: Gomf Atp Dependent Protein Folding Chaperone -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Enzyme Substrate Adaptor Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gomf Protein Containing Complex Destabilizing Activity -> Biodomain: Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gomf Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gomf Catecholamine Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Oleate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gomf Steroid Hormone Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gomf Ubiquitin Specific Protease Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Nadplus Protein Adp Ribosyltransferase Activity -> Biodomain: Signal Transduction, DNA Repair, Epigenetic Regulation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Dna Dna Annealing Activity -> Biodomain: DNA Repair, DNA Replication, Molecular Transport and Homeostasis, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Splicing Factor Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_31.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
