Running with TEMP=0.0, sub_array_index=30
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 30: rows 1450 to 1499
GO Term: Gomf Protein Kinase A Regulatory Subunit Binding -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Dynactin Binding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
GO Term: Gomf Chondroitin Sulfotransferase Activity -> Biodomain: Carbohydrate Metabolism, Extracellular Matrix Organization, Enzyme Activity, Post-Translational Modification, Macromolecule Metabolism
GO Term: Gomf Phosphatidylinositol 3 4 5 Trisphosphate 5 Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf U3 Snorna Binding -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gomf Box H Aca Snorna Binding -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gomf Dopamine Binding -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gomf Atp Dependent Dna Dna Annealing Activity -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf Proteasome Activating Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf K48 Linked Polyubiquitin Modification Dependent Protein Binding -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gomf Collagen Receptor Activity -> Biodomain: Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gomf Peptide Binding -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gomf Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, DNA Repair, Response to Stimulus
GO Term: Gomf Wnt Receptor Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
