Running with TEMP=0.0, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 300 to 349
GO Term: Gobp Glyceraldehyde 3 Phosphate Metabolic Process -> Biodomain: Carbohydrate Metabolism, Metabolism, Energy Metabolism, ATP Metabolism, Biochemical Pathways
GO Term: Gobp Antibacterial Humoral Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Lipid Storage -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Glial Cell Fate Commitment -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Glial Cell Development -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Membrane To Membrane Docking -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Protein To Membrane Docking -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Function and Metabolism, System and Developmental Process, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Signaling -> Biodomain: Signal Transduction, Epigenetic Regulation, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Adaptation Of Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Structural Stabilization
GO Term: Gobp Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Pancreatic Juice Secretion -> Biodomain: Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus
GO Term: Gobp Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Dna Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Nitric Oxide Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, System and Developmental Process, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Autophagy Of Peroxisome -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Ubiquitin Dependent Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Apoptosis, Response to Stimulus
GO Term: Gobp Maturation Of Ssu Rrna -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Bmp Signaling Pathway -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Intracellular Receptor Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Pml Body Organization -> Biodomain: Transcription and Translation Machinery, DNA Repair, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Ovulation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Structural Stabilization
