Running with TEMP=0.0, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 850 to 899
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Cell Cycle, Epigenetic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Transcription and Translation Machinery, Structural Stabilization
GO Term: Gobp Cellular Response To Light Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Cellular Response To Uv A -> Biodomain: Response to Stimulus, DNA Repair, Signal Transduction, Cell Cycle, Apoptosis
GO Term: Gobp Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Response to Stimulus, Signal Transduction, Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Cellular Response To Nitrosative Stress -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Mitochondrial Function and Metabolism, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Protein Ufmylation -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Granulocyte Colony Stimulating Factor Production -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Organism Emergence From Protective Structure -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization, Autophagy
GO Term: Gobp Ectodermal Placode Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Response To Bmp -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Podosome Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, System and Developmental Process
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Cell Cycle
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Multivesicular Body Sorting Pathway -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Metanephric Epithelium Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction, Structural Stabilization
GO Term: Gobp Metanephric Nephron Epithelium Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Monocarboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, DNA Repair
GO Term: Gobp T Helper 17 Type Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Establishment Of Protein Localization To Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
