Running with TEMP=0.0, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 900 to 949
GO Term: Gobp Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Positive Regulation Of Inclusion Body Assembly -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, System and Developmental Process, Structural Stabilization
GO Term: Gobp Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Fibroblast Growth Factor Production -> Biodomain: Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Immune System and Inflammation, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Stress Induced Premature Senescence -> Biodomain: Cell Cycle, Response to Stimulus, Signal Transduction, Apoptosis, System and Developmental Process
GO Term: Gobp Acinar Cell Differentiation -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Endocardial Cushion To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Signal Transduction
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Function and Metabolism, System and Developmental Process, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Renal Protein Absorption -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Mitochondrial Function and Metabolism, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction, Response to Stimulus
GO Term: Gobp Epoxide Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Ruffle Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Execution Phase Of Apoptosis -> Biodomain: Apoptosis, System and Developmental Process, Signal Transduction, Structural Stabilization, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Response to Stimulus, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Renal Tubular Secretion -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Neutrophil Clearance -> Biodomain: Immune System and Inflammation, Autophagy, Apoptosis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Response to Stimulus, Apoptosis, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction
GO Term: Gobp Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Folate Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Trans Synaptic Signaling Modulating Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Structural Stabilization
GO Term: Gobp Cellular Detoxification Of Aldehyde -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Response to Stimulus, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gobp Rna Decapping -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Methylguanosine Cap Decapping -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Macrophage Proliferation -> Biodomain: Immune System and Inflammation, Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_19.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
