Running with TEMP=0.0, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 600 to 649
GO Term: Gobp Establishment Of Protein Localization -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Structural Stabilization
GO Term: Gobp Late Endosome To Vacuole Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Mitochondrial Function and Metabolism
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction
GO Term: Gobp Mhc Class Ii Biosynthetic Process -> Biodomain: Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune System and Inflammation, Transcription and Translation Machinery, Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Epigenetic Regulation
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Positive Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Respiratory Burst -> Biodomain: Immune System and Inflammation, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Replication -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Action Potential -> Biodomain: Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Glycolytic Process -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Lipid Metabolism
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Proteolysis -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: System and Developmental Process, Signal Transduction, Cell Cycle, Response to Stimulus, Apoptosis
GO Term: Gobp Positive Regulation Of Translational Initiation -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Signal Transduction, Apoptosis, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Nucleotide Metabolic Process -> Biodomain: DNA Repair, RNA Metabolism, Epigenetic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gobp Adenosine Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction
GO Term: Gobp Guanine Metabolic Process -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, DNA Repair, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Inosine Metabolic Process -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Purine Ribonucleoside Catabolic Process -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis, Immune System and Inflammation
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Signal Transduction, Response to Stimulus, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, System and Developmental Process
