Running with TEMP=0.0, sub_array_index=22
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 22: rows 1050 to 1099
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Endothelial Cell Matrix Adhesion Via Fibronectin -> Biodomain: Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Structural Stabilization, Immune System and Inflammation
GO Term: Gobp Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization
GO Term: Gobp Autophagosome Organization -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Cell Cycle
GO Term: Gobp Regulation Of Metallopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Metallopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Metallopeptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Rna Binding -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Modification Of Synaptic Structure -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Regulation Of Aspartic Type Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Aspartic Type Peptidase Activity -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Apoptosis, Autophagy
GO Term: Gobp Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Protein Localization To Microtubule Organizing Center -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Lysosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Negative Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Membrane Permeability -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Structural Stabilization
GO Term: Gobp Negative Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Amyloid Fibril Formation -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, Cell Cycle
GO Term: Gobp Embryonic Brain Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Mitochondrial Transmembrane Transport -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Protein Polyufmylation -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Presynaptic Active Zone Organization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Dorsal Root Ganglion Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Odorant -> Biodomain: Response to Stimulus, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Double Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus
