Running with TEMP=0.0, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 650 to 699
GO Term: Gobp Eye Pigmentation -> Biodomain: System and Developmental Process, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Signal Transduction, Structural Stabilization, System and Developmental Process, Immune System and Inflammation
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Determination Of Dorsal Ventral Asymmetry -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Organelle Inheritance -> Biodomain: Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Structural Stabilization, System and Developmental Process
GO Term: Gobp Replication Fork Protection -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Sympathetic Nervous System Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Neurotransmission and Synaptic Regulation, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Behavior -> Biodomain: Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Lymph Node Development -> Biodomain: System and Developmental Process, Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Response To Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, System and Developmental Process, Immune System and Inflammation, Epigenetic Regulation
