Running with TEMP=0.0, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 50 to 99
GO Term: Gobp Regulation Of Tolerance Induction -> Biodomain: Immune System and Inflammation, Signal Transduction, System and Developmental Process, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Leukocyte Migration -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Immune Effector Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy
GO Term: Gobp Negative Regulation Of Leukocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Apoptosis, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Negative Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gobp Cytosolic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of T Helper 1 Type Immune Response -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
