Running with TEMP=0.0, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 500 to 549
GO Term: Gobp Perk Mediated Unfolded Protein Response -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Erad Pathway -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp P38Mapk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Cell Cycle, Response to Stimulus
GO Term: Gobp Interleukin 2 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Cell Cycle, Response to Stimulus
GO Term: Gobp Erbb4 Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Erbb4 Erbb4 Signaling Pathway -> Biodomain: Signal Transduction, System and Developmental Process, Transcription and Translation Machinery, Neurodevelopment and Neuronal Differentiation, Cell Cycle
GO Term: Gobp Rig I Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, RNA Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Negative Regulation Of Viral Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Negative Regulation Of Rig I Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Viral Rna Genome Replication -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Growth -> Biodomain: System and Developmental Process, Cell Cycle, Structural Stabilization, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Growth -> Biodomain: System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Snrna Modification -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Protein Refolding -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Epithelial Fluid Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction, Transcription and Translation Machinery
