Running with TEMP=0.0, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 700 to 749
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Regulation Of Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Maintenance Of Location -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Protein Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Chromosome Organization -> Biodomain: DNA Repair, Epigenetic Regulation, Cell Cycle, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Signal Transduction, System and Developmental Process
GO Term: Gobp Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cyclic Nucleotide Phosphodiesterase Activity -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Negative Regulation Of Transferase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Oxidoreductase Activity -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Kinetochore Organization -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Neurotransmission and Synaptic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Detoxification Of Nitrogen Compound -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Response To Camp -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Maintenance Of Location In Cell -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Maintenance Of Centrosome Location -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Establishment Of Golgi Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Protein Delipidation -> Biodomain: Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gobp Biological Process Involved In Interaction With Symbiont -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gobp Negative Regulation Of Cell Division -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Nuclear Division -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, DNA Repair
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Modulation By Host Of Symbiont Process -> Biodomain: Signal Transduction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Protein Kinase B Signaling -> Biodomain: Signal Transduction, Apoptosis, Cell Cycle, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Establishment Of Pigment Granule Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Negative Regulation Of Calcium Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Gliogenesis and Glial Differentiation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Telomerase Activity -> Biodomain: Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Response to Stimulus
GO Term: Gobp Positive Regulation Of Telomerase Activity -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process
GO Term: Gobp Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Epigenetic Regulation, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gobp Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Atrial Cardiac Muscle Tissue Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Sertoli Cell Development -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization
GO Term: Gobp Sertoli Cell Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Convergent Extension -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_15.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
