Running with TEMP=0.0, sub_array_index=21
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 21: rows 1000 to 1049
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation, Signal Transduction
GO Term: Gobp Negative Regulation Of Chondrocyte Proliferation -> Biodomain: Cell Cycle, System and Developmental Process, Structural Stabilization, Response to Stimulus, Signal Transduction
GO Term: Gobp Regulation Of Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Regulation Of Tau Protein Kinase Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gobp Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Protein Deubiquitination -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis
GO Term: Gobp Organelle Disassembly -> Biodomain: Autophagy, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Meiotic Cell Cycle Process -> Biodomain: Cell Cycle, System and Developmental Process, Epigenetic Regulation, DNA Repair, Structural Stabilization
GO Term: Gobp Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Mitochondrial Function and Metabolism, Response to Stimulus
