Running with TEMP=0.0, sub_array_index=24
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 24: rows 1150 to 1199
GO Term: Gocc Prp19 Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Pam Complex Tim23 Associated Import Motor -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Acrosomal Vesicle -> Biodomain: System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Phagocytic Cup -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus
GO Term: Gocc Interstitial Matrix -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gocc Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, Molecular Transport and Homeostasis
GO Term: Gocc Alpha Dna Polymerase Primase Complex -> Biodomain: DNA Repair, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Cell Cycle
GO Term: Gocc U2 Type Spliceosomal Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Structural Stabilization, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization
GO Term: Gocc Late Endosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gocc Multivesicular Body -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Autophagy, Response to Stimulus
GO Term: Gocc Sec61 Translocon Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gocc Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism
GO Term: Gocc Rough Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Transcription and Translation Machinery
GO Term: Gocc Endoplasmic Reticulum Golgi Intermediate Compartment -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Golgi Medial Cisterna -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Golgi Associated Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Lipid Droplet -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Proteasome Regulatory Particle -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Proteasome Core Complex -> Biodomain: Protein Metabolism and Trafficking, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Response to Stimulus
GO Term: Gocc Ribosome -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gocc Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Troponin Complex -> Biodomain: Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gocc Kinesin Complex -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Neurofilament -> Biodomain: Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Transcription Elongation Factor Complex -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus
GO Term: Gocc Cyclin Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Transcription and Translation Machinery, Cell Cycle, Epigenetic Regulation, RNA Metabolism, Signal Transduction
GO Term: Gocc Oligosaccharyltransferase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Katanin Complex -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gocc Proteasome Regulatory Particle Lid Subcomplex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus, System and Developmental Process
GO Term: Gocc Endosome Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Chromocenter -> Biodomain: Structural Stabilization, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Cell Cycle
GO Term: Gocc Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gocc Er To Golgi Transport Vesicle Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Large Ribosomal Subunit -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gocc Small Ribosomal Subunit -> Biodomain: Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Sarcoplasm -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gocc Sarcoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Rsc Type Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Signal Transduction, System and Developmental Process
GO Term: Gocc Insulin Like Growth Factor Binding Protein Complex -> Biodomain: Molecular Transport and Homeostasis, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gocc Proteasome Core Complex Alpha Subunit Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Proteasome Core Complex Beta Subunit Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gocc Nuclear Cyclin Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Cytosolic Large Ribosomal Subunit -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Cytosolic Ribosome -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gocc Cell Substrate Junction -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gocc Mitochondrial Tricarboxylic Acid Cycle Enzyme Complex -> Biodomain: Mitochondrial Function and Metabolism, System and Developmental Process, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Membrane Coat -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Vesicle Coat -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_24.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
