Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Cholesterol Catabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Copper Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction, System and Developmental Process
GO Term: Gobp Iron Ion Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Mitochondrial Transport -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Intracellular Iron Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, System and Developmental Process
GO Term: Gobp Intracellular Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Signal Transduction, Response to Stimulus
GO Term: Gobp Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Endoplasmic Reticulum To Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Retrograde Vesicle Mediated Transport Golgi To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Intra Golgi Vesicle Mediated Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Vesicle Budding From Membrane -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Signal Transduction
GO Term: Gobp Vesicle Coating -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Vesicle Targeting -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Phagocytosis -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Cell Adhesion and Interaction, Autophagy
GO Term: Gobp Phagocytosis Recognition -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Phagocytosis Engulfment -> Biodomain: Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Apoptosis
GO Term: Gobp Apoptotic Process -> Biodomain: Apoptosis, Signal Transduction, Response to Stimulus, Cell Cycle, System and Developmental Process
GO Term: Gobp Activation Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune System and Inflammation, Signal Transduction, Cell Cycle, Response to Stimulus
GO Term: Gobp Response To Osmotic Stress -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Er Nucleus Signaling Pathway -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Sterol Depletion -> Biodomain: Response to Stimulus, Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Cellular Response To Nitrogen Starvation -> Biodomain: Response to Stimulus, Signal Transduction, Autophagy, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Nucleolus Organization -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gobp Mitochondrion Organization -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Microtubule Depolymerization -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Cycle, Signal Transduction, System and Developmental Process
GO Term: Gobp Endoplasmic Reticulum Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Lipid Metabolism, Structural Stabilization, System and Developmental Process
GO Term: Gobp Endosome Organization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, DNA Repair, Response to Stimulus
GO Term: Gobp Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic Regulation, System and Developmental Process, DNA Repair
GO Term: Gobp Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, System and Developmental Process, Epigenetic Regulation, Structural Stabilization, Response to Stimulus
GO Term: Gobp Female Meiosis I -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Neurodevelopment and Neuronal Differentiation, Response to Stimulus
GO Term: Gobp Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Transcription and Translation Machinery
GO Term: Gobp Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Cell Cycle, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Transmembrane Receptor Protein Serine Threonine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gobp Adenylate Cyclase Inhibiting G Protein Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp I Kappab Kinase Nf Kappab Signaling -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Apoptosis
GO Term: Gobp Jnk Cascade -> Biodomain: Signal Transduction, Apoptosis, Immune System and Inflammation, Response to Stimulus, Cell Cycle
GO Term: Gobp Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Immune System and Inflammation, Cell Cycle, Response to Stimulus
GO Term: Gobp Ectoderm Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Endoderm Development -> Biodomain: System and Developmental Process, Organ Development and Morphogenesis, Developmental Biology, Cell Differentiation, Organogenesis
GO Term: Gobp Mesoderm Development -> Biodomain: System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Epigenetic Regulation
GO Term: Gobp Adult Heart Development -> Biodomain: System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Copulation -> Biodomain: System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Feeding Behavior -> Biodomain: Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Cell Recognition -> Biodomain: Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Mitochondrial Fusion -> Biodomain: Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, System and Developmental Process, Structural Stabilization
GO Term: Gobp Mesodermal Cell Migration -> Biodomain: Cell Adhesion and Interaction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction
GO Term: Gobp Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking, Signal Transduction
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
