Running with TEMP=0.0, sub_array_index=27
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 27: rows 1300 to 1349
GO Term: Gocc Nucleolar Exosome Rnase Complex -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gocc Chaperone Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Response to Stimulus, Mitochondrial Function and Metabolism
GO Term: Gocc Procentriole Replication Complex -> Biodomain: Cell Cycle, Structural Stabilization, Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gocc Centriolar Subdistal Appendage -> Biodomain: Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Cone Photoreceptor Outer Segment -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Structural Stabilization
GO Term: Gocc Endoplasmic Reticulum Protein Containing Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gocc Ficolin 1 Rich Granule Lumen -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gocc Peptidase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus, Signal Transduction
GO Term: Gocc Endopeptidase Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gocc Mitotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Spermatoproteasome Complex -> Biodomain: Protein Metabolism and Trafficking, System and Developmental Process, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gocc Messenger Ribonucleoprotein Complex -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gocc Oxidoreductase Complex -> Biodomain: Mitochondrial Function and Metabolism, Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Dna Repair Complex -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, Cell Cycle, Signal Transduction, Response to Stimulus
GO Term: Gocc Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gocc Lsm1 7 Pat1 Complex -> Biodomain: RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Response to Stimulus
GO Term: Gocc Wnt Signalosome -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery
GO Term: Gomf Dna Secondary Structure Binding -> Biodomain: DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction
GO Term: Gomf Four Way Junction Dna Binding -> Biodomain: DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gomf Adenyl Nucleotide Exchange Factor Activity -> Biodomain: Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gomf Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation, Signal Transduction
GO Term: Gomf Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gomf Tfiib Class Transcription Factor Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gomf Basal Transcription Machinery Binding -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gomf Transcription Coregulator Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gomf Transcription Coactivator Binding -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gomf N Acetylglucosamine 6 O Sulfotransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gomf Lipopolysaccharide Binding -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking
GO Term: Gomf Alpha N Acetylgalactosaminide Alpha 2 6 Sialyltransferase Activity -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Atpase Activator Activity -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gomf Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Protease Binding -> Biodomain: Protein Metabolism and Trafficking, Apoptosis, Autophagy, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gomf Dna Helicase Activity -> Biodomain: DNA Repair, DNA Replication, Transcription and Translation Machinery, Signal Transduction, Response to Stimulus
GO Term: Gomf Minor Groove Of Adenine Thymine Rich Dna Binding -> Biodomain: Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Response to Stimulus, Signal Transduction
GO Term: Gomf Dna Replication Origin Binding -> Biodomain: Cell Cycle, Transcription and Translation Machinery, Epigenetic Regulation, DNA Repair, Signal Transduction
GO Term: Gomf Telomerase Activity -> Biodomain: DNA Repair, RNA Metabolism, Cell Cycle, Epigenetic Regulation, Mitochondrial Function and Metabolism
GO Term: Gomf Structural Constituent Of Ribosome -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, RNA Metabolism, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics
GO Term: Gomf Translation Elongation Factor Activity -> Biodomain: Transcription and Translation Machinery, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gomf Protein Disulfide Isomerase Activity -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, Response to Stimulus
