Running with TEMP=0.0, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 100 to 149
GO Term: Gobp Mitochondrial Electron Transport Nadh To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Signal Transduction
GO Term: Gobp Mitochondrial Electron Transport Succinate To Ubiquinone -> Biodomain: Mitochondrial Function and Metabolism, Energy Metabolism and ATP Synthesis, Oxidative Phosphorylation, Metabolic Pathways, Electron Transport Chain
GO Term: Gobp Mitochondrial Electron Transport Cytochrome C To Oxygen -> Biodomain: Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction, Response to Stimulus
GO Term: Gobp Purine Nucleoside Catabolic Process -> Biodomain: Nucleotide Metabolism, Energy Metabolism, Signal Transduction, Cellular Homeostasis, System and Developmental Process
GO Term: Gobp Adp Biosynthetic Process -> Biodomain: Mitochondrial Function and Metabolism, RNA Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Imp Catabolic Process -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gobp Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Dna Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Dna Unwinding Involved In Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Dna Strand Elongation Involved In Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction
GO Term: Gobp Base Excision Repair -> Biodomain: DNA Repair, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction
GO Term: Gobp Base Excision Repair Gap Filling -> Biodomain: DNA Repair, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Cell Cycle
GO Term: Gobp Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Double Strand Break Repair -> Biodomain: DNA Repair, Signal Transduction, Cell Cycle, System and Developmental Process, Protein Metabolism and Trafficking
