Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 550 to 599
GO Term: Gobp Natural Killer Cell Degranulation -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Steroid Hormone Mediated Signaling Pathway -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, Lipid Metabolism, System and Developmental Process
GO Term: Gobp Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Map Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Epigenetic Regulation, System and Developmental Process
GO Term: Gobp Negative Regulation Of Mapk Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Cell Cycle, Apoptosis, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Dna Binding Transcription Factor Activity -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process, Response to Stimulus
GO Term: Gobp Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Apoptosis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Positive Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Apoptosis, Cell Cycle, Immune System and Inflammation
GO Term: Gobp Negative Regulation Of Jun Kinase Activity -> Biodomain: Signal Transduction, Response to Stimulus, Apoptosis, Immune System and Inflammation, Cell Cycle
GO Term: Gobp Peroxisomal Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Mitochondrial Function and Metabolism
GO Term: Gobp Regulation Of Respiratory Gaseous Exchange -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process, Signal Transduction, Structural Stabilization
GO Term: Gobp Skin Morphogenesis -> Biodomain: System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus, Cell Cycle
GO Term: Gobp Amide Metabolic Process -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Amide Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, System and Developmental Process
GO Term: Gobp Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Regulation Of Camp Mediated Signaling -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Regulation Of Excretion -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Molecular Function -> Biodomain: Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Lipid Digestion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Macromolecule Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Autophagy, RNA Metabolism, DNA Repair, Lipid Metabolism
GO Term: Gobp Sulfur Compound Catabolic Process -> Biodomain: Protein Metabolism and Trafficking, Lipid Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process
GO Term: Gobp Sodium Dependent Phosphate Transport -> Biodomain: Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, System and Developmental Process, Lipid Metabolism
GO Term: Gobp Biological Process Involved In Symbiotic Interaction -> Biodomain: Immune System and Inflammation, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction
GO Term: Gobp Adhesion Of Symbiont To Host Cell -> Biodomain: Cell Adhesion and Interaction, Immune System and Inflammation, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Protein Transmembrane Import Into Intracellular Organelle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process, Response to Stimulus
GO Term: Gobp Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Transcription and Translation Machinery, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Modulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation By Host Of Viral Process -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, RNA Metabolism
GO Term: Gobp Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune System and Inflammation, DNA Repair, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune System and Inflammation, Response to Stimulus, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Cell Cycle G2 M Phase Transition -> Biodomain: Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Lipoprotein Localization -> Biodomain: Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Protein Metabolism and Trafficking, System and Developmental Process
