Running with TEMP=0.0, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 800 to 849
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, System and Developmental Process, DNA Repair, Epigenetic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization, Response to Stimulus
GO Term: Gobp Regulation Of Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction
GO Term: Gobp Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Interleukin 27 Mediated Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Biomineral Tissue Development -> Biodomain: System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization, Cell Adhesion and Interaction
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic Regulation, Structural Stabilization, System and Developmental Process
GO Term: Gobp Regulation Of Establishment Of Protein Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp N Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, System and Developmental Process, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Epigenetic Regulation, Cell Cycle, Apoptosis
GO Term: Gobp Positive Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Signal Transduction, Response to Stimulus, Apoptosis, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Response To Cgmp -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, System and Developmental Process, Cell Cycle, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, System and Developmental Process
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, DNA Repair, Signal Transduction
GO Term: Gobp Response To Interleukin 1 -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Neuron Projection Regeneration -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Mitochondrion Morphogenesis -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Cycle, Transcription and Translation Machinery
GO Term: Gobp Response To Interleukin 4 -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, System and Developmental Process
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Protein Metabolism and Trafficking, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, RNA Metabolism
GO Term: Gobp Response To Epidermal Growth Factor -> Biodomain: Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism
GO Term: Gobp Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp 3 Utr Mediated Mrna Stabilization -> Biodomain: RNA Metabolism, Molecular Transport and Homeostasis, Response to Stimulus, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Apoptosis, Signal Transduction, Response to Stimulus, System and Developmental Process
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Nuclear Ncrna Surveillance -> Biodomain: RNA Metabolism, Epigenetic Regulation, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process
GO Term: Gobp Histone Mrna Catabolic Process -> Biodomain: RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gobp Dna Conformation Change -> Biodomain: DNA Repair, Transcription and Translation Machinery, Epigenetic Regulation, Cell Cycle, Signal Transduction
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic Regulation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, RNA Metabolism, System and Developmental Process
GO Term: Gobp Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Acid Chemical -> Biodomain: Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, System and Developmental Process
GO Term: Gobp Cellular Response To Type Ii Interferon -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Transcription and Translation Machinery, Signal Transduction, Response to Stimulus, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Cell Cycle, Epigenetic Regulation
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Response to Stimulus, Molecular Transport and Homeostasis, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/go_biodomain_results_part_17.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D56/Temp_0.0/runtime_log.csv
