Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown, Synapse
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Phthalate Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Epigenetic, Unknown, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Unknown, Proteostasis
GO Term: Guanyl Nucleotide Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Gmp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Gdp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Unknown
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Apoptosis
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Unknown, Apoptosis, Cell Cycle, Epigenetic
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Autophagy, Proteostasis, Oxidative Stress, Unknown
