Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Clathrin Heavy Chain Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Clathrin Light Chain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Bile Acid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Bleb -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Bleb Assembly -> Biodomain: Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Restriction Endodeoxyribonuclease Activity -> Biodomain: Immune Response, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nacht Domain Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Pyrin Domain Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Protein Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Sam Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Synapse, Cell Cycle
GO Term: Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
