Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Chromosomal Region -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Parallel Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Glycinergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dopaminergic Synapse -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Inositol 1,4,5-Trisphosphate Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Copper Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Immune Response, Vasculature
GO Term: Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Sodium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Skeletal Muscle Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Symmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Maintenance Of Cell Number -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Macromolecule Deacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Protein Insertion Into Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Import Across Plasma Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Cell Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cerebellar Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Oxidative Stress, Mitochondrial Metabolism
