Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Symbiont -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Response To Symbiotic Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Wounding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Fungus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Nematode -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Response To Gravity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cold Acclimation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Herbicide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Toxic Substance -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Blue Light -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Response To Light Intensity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Low Light Intensity Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Photoperiodism -> Biodomain: Oxidative Stress, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Entrainment Of Circadian Clock -> Biodomain: Epigenetic, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Uv Protection -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Cell Cycle
GO Term: Low-Affinity Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Induced Systemic Resistance -> Biodomain: Immune Response, Response to Stress, Defense Response, Response to Biotic Stimulus, Biological Process involved in Interspecies Interaction
GO Term: Ethylene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Hormone -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Immune Response, Apoptosis
GO Term: Response To Carbohydrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Sucrose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Glucose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Fructose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Response To Salicylic Acid -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Hormone-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Carbohydrate Mediated Signaling -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Blue Light Signaling Pathway -> Biodomain: Oxidative Stress, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Hormone Signaling, Lipid Metabolism, Cellular Stress Response, Signal Transduction, Oxidative Stress
GO Term: Post-Embryonic Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Coumarin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Flavonoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Alkaloid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, APP Metabolism, Epigenetic
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
