Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Interleukin-15 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Nad(P)H Oxidase H2O2-Forming Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Superoxide-Generating Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Superoxide-Generating Nadph Oxidase Activator Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Snrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Synaptic Vesicle Budding From Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Coating -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Synaptic Vesicle To Endosome Fusion -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Uncoating -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Endosomal Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Axon Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Axon Midline Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Regulation Of Striated Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Muscle Attachment -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Catechol O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Amp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Antioxidant Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Kynurenine-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Acyl-Coa 6-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Acyl-Coa Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Procollagen-Proline 4-Dioxygenase Complex -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Beta-Alanine:Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Steroid Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Sphingomyelin Phosphodiesterase Activator Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Glycosaminoglycan Metabolism, Lipid Metabolism
GO Term: Hnk-1 Sulfotransferase Activity -> Biodomain: Synapse, Myelination, Structural Stabilization, Immune Response, Proteostasis
GO Term: Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Inclusion Body -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: Aggresome -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Macroautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Microautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Autophagosome Membrane Docking -> Biodomain: Autophagy, Endolysosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Cell Cycle
GO Term: Regulation Of Autophagosome Size -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Channel Regulator Activity -> Biodomain: Synapse, Apoptosis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: N-Sulfoglucosamine Sulfohydrolase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Vasculature
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Attachment Of Gpi Anchor To Protein -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
