Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Photoreceptor Cell Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Chemorepellent Activity -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Synapse, Proteostasis
GO Term: Dynein Light Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Dynein Heavy Chain Binding -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Proteostasis
GO Term: Dynein Intermediate Chain Binding -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Interleukin-27 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Interleukin-27 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-18 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-20 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-22 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-23 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-27 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cholesterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Epigenetic
GO Term: Syndecan Binding -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Ditrans,Polycis-Polyprenyl Diphosphate Synthase [(2E,6E)-Farnesyl Diphosphate Specific] Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Geranylgeranyl Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trail Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Basophil Activation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Mast Cell Activation -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, DNA Repair
GO Term: Negative Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Epigenetic
