Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Dna Protection -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Protection From Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Susceptibility To Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nuclear Rna Export Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Ribosomal Large Subunit Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Ribosomal Small Subunit Biogenesis -> Biodomain: Proteostasis, Autophagy, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome
GO Term: Error-Free Postreplication Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Autophagy
GO Term: Peptide Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Purine Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Synapse
GO Term: Dolichyl Pyrophosphate Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dolichyl Pyrophosphate Glc1Man9Glcnac2 Alpha-1,3-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Sphingolipid Delta-4 Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Xylosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Mhc Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class I Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Isg15 Transferase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, DNA Repair, Endolysosome
GO Term: Vocal Learning -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Proteostasis
GO Term: Phosphate Ion Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Vasodilation -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Autophagy, Endolysosome, Immune Response
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, APP Metabolism
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Tau Homeostasis, Synapse
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Signal Transduction, Cell Adhesion, Carbohydrate Metabolism
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
