Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Central Nervous System Projection Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Central Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Central Nervous System Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Central Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Synapse, Proteostasis
GO Term: Central Nervous System Interneuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Corticospinal Tract Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Anterior Commissure Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Spinal Cord Ventral Commissure Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Vasculature, Cell Cycle, Apoptosis
GO Term: Corticospinal Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Vasculature
GO Term: Corticospinal Neuron Axon Guidance Through Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Telencephalon Regionalization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Hypothalamus Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Synapse
GO Term: Pituitary Gland Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Apoptosis, Epigenetic
GO Term: Adenohypophysis Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Neurohypophysis Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Cerebral Cortex Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Apoptosis
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Olfactory Cortex Development -> Biodomain: Developmental Processes, Neurogenesis, Synapse, Structural Stabilization, Cell Adhesion
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Vasculature
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, RNA Spliceosome
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neurogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
