Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Oxidative Stress, Signaling Pathways, DNA Binding, Steroid Metabolism
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Signal Transduction, Receptor Activity, Cell Communication, Intracellular Signaling, Membrane Activity
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, G Protein-Coupled Receptors (GPCRs), Inflammation, Cell Surface Receptor
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Cytokine Signaling, Signal Transduction, Receptor Activity, Cell Surface Receptor
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Oxidative Stress
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Signaling, GPCR Signaling, Adrenergic Signaling, cAMP Signaling, Neurotransmission
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signaling Receptor Activity, GPCR Activity, Receptor Signaling, Neurotransmission, Neuronal Signaling
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Signal Transduction, Neurotransmission, Synapse, Vasculature, Proteostasis
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Lipid Metabolism
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Structural Stabilization
GO Term: Calcitonin Receptor Activity -> Biodomain: Signaling Receptor, Calcium Homeostasis, Peptide Hormone Signaling, GPCR Signaling, Hormone Response
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
