Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: APP Metabolism, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Signaling, Proteostasis, Immune Response, Oxidative Stress
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, APP Metabolism
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Vasculature
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, APP Metabolism, Endolysosome
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Apoptosis
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, APP Metabolism
