Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mesonephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Nephric Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Nephric Duct Formation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Endolysosome
GO Term: Mesonephric Duct Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Mesonephric Duct Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Renal Vesicle Progenitor Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ureter Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Ureter Urothelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Ureter Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Unknown, Epigenetic
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Unknown
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Structural Stabilization
GO Term: Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Metanephric Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Metanephric Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Metanephric Nephron Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Metanephric Capsule Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Unknown
GO Term: Metanephric Cortex Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Metanephric Ascending Thin Limb Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Epigenetic
GO Term: Metanephric Cortical Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Metanephric Descending Thin Limb Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Metanephric Distal Convoluted Tubule Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Macula Densa Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Metanephric Proximal Convoluted Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Metanephric Proximal Straight Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Epigenetic
GO Term: Metanephric Proximal Convoluted Tubule Segment 2 Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Metanephric Thick Ascending Limb Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Metanephric Nephron Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Metanephric Distal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Metanephric Loop Of Henle Development -> Biodomain: Structural Stabilization, Vasculature, Unknown, Cell Cycle, Epigenetic
GO Term: Metanephric Proximal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Metanephric Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Unknown, Lipid Metabolism, Immune Response
GO Term: Metanephric Dct Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Metanephric Glomerular Mesangial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Metanephric Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Metanephric Interstitial Fibroblast Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Unknown
GO Term: Metanephric Glomerular Mesangial Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Autophagy
