Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Endolysosome
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Structural Stabilization
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Vasculature
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Synapse
GO Term: Nuclear Receptor Activity -> Biodomain: Transcription, Hormone Signaling, Lipid Metabolism, Signal Transduction, Gene Expression
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Signaling, DNA Repair, Cell Cycle
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Signal Transduction, Intracellular Signaling, Immune Response, Cell Growth and Death, Synapse
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Autophagy
GO Term: Erythropoietin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Apoptosis, Cell Cycle, Proteostasis
GO Term: Growth Hormone Receptor Activity -> Biodomain: Signaling, Cell Growth & Proliferation, Metabolism, Immune Response, Receptor Activity & Signal Transduction
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Signaling Receptor Activity, Cell Cycle, Proteostasis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Signaling, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signaling, GPCR, G Protein, Neuropharmacology, Cellular Response
