Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Serotonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Cellular Response To Glyceraldehyde -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Cellular Response To Acetaldehyde -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Proline Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Unknown
GO Term: Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Positive Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Torc1 Complex Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Torc2 Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Permeability -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Membrane Permeability -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cornification -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Localization To Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Cytoplasmic Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Mitotic Spindle Astral Microtubule End -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of L-Proline Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism and Transport, Membrane Trafficking and Transport, Cellular Processes, Stress Response, Metabolic Processes
GO Term: Positive Regulation Of Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Saliva Secretion -> Biodomain: Secretion Processes, Signal Transduction, Neurotransmission, Cell Communication, Cell Regulation
GO Term: Hard Palate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Scf Ubiquitin Ligase Complex Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ccr4-Not Complex Binding -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Regulation Of Mesodermal Cell Differentiation -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Mesodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: 8-Hydroxy-2'-Deoxyguanosine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
