Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Oxidative Stress
