Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Myoblast Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Myoblast Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Skeletal Muscle Tissue Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Tissue Growth -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Regulation Of Muscle Organ Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Developmental Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Developmental Growth -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Epigenetic, Autophagy
GO Term: Muscle Organ Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Animal Organ Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Anatomical Structure Formation Involved In Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Smooth Muscle Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Neuron Fate Determination -> Biodomain: Neurogenesis, Cell Differentiation, Developmental Processes, Cell Fate Commitment, Neural Development
GO Term: Neuron Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Apoptosis
GO Term: Cell Morphogenesis Involved In Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Collateral Sprouting -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Negative Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Collateral Sprouting -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Axon Extension -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Axon Extension Involved In Regeneration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Response To Axon Injury -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Negative Regulation Of Axon Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Negative Regulation Of Collateral Sprouting Of Intact Axon In Response To Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Sprouting Of Injured Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Axon Extension Involved In Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Collateral Sprouting In Absence Of Injury -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
