Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Interleukin-15 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Nad(P)H Oxidase H2O2-Forming Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Vasculature
GO Term: Superoxide-Generating Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Superoxide-Generating Nadph Oxidase Activator Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Snrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Synaptic Vesicle Budding From Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Synaptic Vesicle Coating -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Synaptic Vesicle Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Synaptic Vesicle To Endosome Fusion -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Uncoating -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Endosomal Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Axon Choice Point Recognition -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Proteostasis
GO Term: Axon Midline Choice Point Recognition -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Muscle Attachment -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Catechol O-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Antioxidant Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
