Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cardiolipin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Clathrin Heavy Chain Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Clathrin Light Chain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: Bile Acid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Ciliary Basal Body Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Translation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Bleb -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Bleb Assembly -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Restriction Endodeoxyribonuclease Activity -> Biodomain: Immune Response, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Immune Response, Endolysosome
