Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Serine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Asialoglycoprotein Receptor Activity -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Complement Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Complement Component C3A Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Complement Component C3B Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Complement Component C5A Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Nuclear Glucocorticoid Receptor Activity -> Biodomain: Epigenetic,Signaling Receptor,Immune Response,Oxidative Stress,Apoptosis
GO Term: Transmembrane Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Cytokine Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Erythropoietin Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Vasculature
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Receptor Signaling, Cytokine Signaling, Signal Transduction, Cell Cycle
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor, Cytokine, Innate Immunity
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Cytokine Signaling, Interferon Signaling, Cytokine Activity
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor Activity, Cytokine Activity, Regulation
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Receptor Signaling, Cell Cycle
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Cytokine Activity, Cell Surface Receptor, Signal Transduction
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
